# case_id|variant_id|polarity|frequency|rationale|behavior|values|callable_inputs|callable_result|call_sites|callable_disposition|latent_operations|captured_facts|ownership_transfer|registration_lifetime|expected_observation|primary_reason|required_sites|all_sites|source_requirements|operator_consent|operation_exercise
effect.retry|positive|positive|common|tests handling one failure while retaining others|retry a fallible callable and handle only retry failure|attempt count;result|unit to value|optional value|retry.call;action.call|passed_callable|retry.failure;action.remaining_requirement|none_explicit|none_explicit|call_only|retry failure is handled and every other requirement propagates|none_expected|retry.call;action.call|retry.definition:definition;action.definition:callable;retry.call:call;action.call:call;retry.handle:use|retry.failure;action.remaining_requirement|none_explicit|retry.failure;action.remaining_requirement
effect.retry|misuse_erased_remaining|misuse|common|prevents handling one failure from erasing unrelated effects|handle retry failure and silently drop another action requirement|attempt count;result|unit to value|optional value|retry.call;action.call|passed_callable|retry.failure;action.remaining_requirement|none_explicit|none_explicit|call_only|reject erasure of the unhandled action requirement|unhandled_requirement_erased|action.call;retry.call|retry.definition:definition;action.definition:callable;retry.call:call;action.call:call;retry.handle:use|retry.failure;action.remaining_requirement|none_explicit|retry.failure;action.remaining_requirement
effect.with_timeout|positive_type_only|positive|occasional|tests handled requirements without runtime credit|type-check a wrapper that handles timeout and propagates other requirements|duration;result|unit to value|optional value|timeout.call;action.call|passed_callable|timeout.requirement;action.remaining_requirement|none_explicit|none_explicit|call_only|timeout is handled in the type model and no scheduler implementation is credited|none_expected|timeout.call;action.call|timeout.definition:definition;action.definition:callable;timeout.call:call;action.call:call;timeout.handle:use|timeout.requirement;action.remaining_requirement|none_explicit|none_explicit
effect.with_timeout|misuse_claims_runtime|misuse|occasional|prevents type evidence from becoming scheduler credit|claim runtime timeout behavior from the type-only case|duration;result|unit to value|optional value|timeout.call;action.call|passed_callable|timeout.requirement|none_explicit|none_explicit|call_only|reject unimplemented scheduler or clock machinery being credited|unimplemented_machinery_credited|timeout.call;timeout.handle|timeout.definition:definition;timeout.call:call;action.call:call;timeout.handle:use|timeout.requirement|none_explicit|none_explicit
effect.parallel_map|positive_type_only|positive|occasional|tests latent composition without concurrency credit|compose callback and parallel requirements as a type-only case|input list;output list|element to element|list|parallel.call;callback.call|passed_callable|parallel.requirement;callback.requirement|none_explicit|none_explicit|call_only|both requirements compose and no concurrency implementation is credited|none_expected|parallel.call;callback.call|parallel.definition:definition;callback.definition:callable;parallel.call:call;callback.call:call|parallel.requirement;callback.requirement|none_explicit|none_explicit
effect.parallel_map|misuse_erased_callback|misuse|occasional|prevents parallel composition from hiding callback effects|report only parallel requirement while dropping callback requirement|input list;output list|element to element|list|parallel.call;callback.call|passed_callable|parallel.requirement;callback.requirement|none_explicit|none_explicit|call_only|reject the missing callback requirement|latent_requirement_erased|callback.call;parallel.call|parallel.definition:definition;callback.definition:callable;parallel.call:call;callback.call:call|parallel.requirement;callback.requirement|none_explicit|none_explicit
effect.callback_registry|positive|positive|common|tests stored callbacks and registration lifetime|register caller state callback fire twice then unregister|event;caller count|event to unit|registration|register.call;fire.call;unregister.call|stored_callable|callback.requirement|caller state;registration|registration transferred to caller|until_unregister|count changes from 0 to 2 and later firing does nothing|none_expected|register.call;unregister.call|registry.definition:definition;callback.definition:callable;register.call:registration;caller.state:capture;fire.call:call;unregister.call:use|callback.requirement|none_explicit|callback.requirement
effect.callback_registry|misuse_outlives_state|misuse|common|pins registration lifetime blame|return while a stored callback can still access local caller state|caller count;registration|event to unit|registration|register.call;return.site;fire.call|stored_callable|callback.requirement|caller state;registration|registration escapes|beyond_captured_state|reject registration that can outlive captured caller state|registration_outlives_capture|register.call;caller.state;return.site|registry.definition:definition;callback.definition:callable;register.call:registration;caller.state:capture;return.site:return;fire.call:call|callback.requirement|none_explicit|callback.requirement
effect.event_handler_factory|positive|positive|common|tests returned closures retaining exact authority|return an event handler that retains a declared logging authority|prefix;event|event to unit|callable|factory.call;handler.call|returned_callable|output.requirement|prefix;exact logging authority|callable transferred to caller|returned_callable_lifetime|handler retains the exact requirement and logs when invoked|none_expected|factory.call;handler.call|factory.definition:definition;handler.definition:callable;factory.call:return;authority.capture:capture;handler.call:call|output.requirement|logging.grant_exact|output.requirement
effect.event_handler_factory|misuse_laundered_authority|misuse|common|prevents returned closures from hiding authority|return a handler whose exact authority capture is omitted|prefix;event|event to unit|callable|factory.call;handler.call|returned_callable|output.requirement|exact logging authority|callable transferred to caller|returned_callable_lifetime|reject loss or widening of the exact authority requirement|captured_authority_erased|authority.capture;factory.call;handler.call|factory.definition:definition;handler.definition:callable;factory.call:return;authority.capture:capture;handler.call:call|output.requirement|logging.grant_exact|output.requirement
effect.memoizing_wrapper|positive|positive|common|tests returned callable allocation and state capture|return a callable that caches results and preserves wrapped requirements|input;cache;result|value to value|callable|memoize.call;wrapper.call|returned_callable|wrapped.requirement;cache.state|cache state;wrapped callable|callable transferred to caller|cache_and_callable_lifetime|cache allocation ownership and wrapped requirement remain explicit|none_expected|memoize.call;wrapper.call;cache.allocation|memoize.definition:definition;wrapped.definition:callable;memoize.call:return;cache.allocation:resource;cache.capture:capture;wrapper.call:call|wrapped.requirement|none_explicit|wrapped.requirement
effect.memoizing_wrapper|misuse_hidden_cache|misuse|common|prevents hidden closure allocation and resource lifetime|return a memoizer without reporting cache allocation or cleanup owner|input;cache;result|value to value|callable|memoize.call;wrapper.call|returned_callable|wrapped.requirement;cache.state|cache state;wrapped callable|callable transferred to caller|cache_and_callable_lifetime|reject hidden cache allocation or missing cleanup owner|hidden_allocation_or_resource|cache.allocation;memoize.call|memoize.definition:definition;wrapped.definition:callable;memoize.call:return;cache.allocation:resource;cache.capture:capture;wrapper.call:call|wrapped.requirement|none_explicit|wrapped.requirement
effect.logging_middleware|positive|positive|common|tests a wrapper adding output while preserving effects|return a wrapper that logs before and after the wrapped call|input;result|value to value|callable|middleware.call;wrapper.call;wrapped.call|returned_callable|output.requirement;wrapped.requirement|wrapped callable;logging authority|callable transferred to caller|returned_callable_lifetime|wrapper adds output and preserves every wrapped requirement|none_expected|wrapper.call;wrapped.call|middleware.definition:definition;wrapped.definition:callable;middleware.call:return;wrapper.call:call;wrapped.call:call;authority.capture:capture|output.requirement;wrapped.requirement|logging.grant_exact|output.requirement;wrapped.requirement
effect.logging_middleware|misuse_erased_wrapped|misuse|common|prevents middleware from replacing wrapped effects|report output while silently dropping a wrapped requirement|input;result|value to value|callable|middleware.call;wrapper.call;wrapped.call|returned_callable|output.requirement;wrapped.requirement|wrapped callable;logging authority|callable transferred to caller|returned_callable_lifetime|reject erasure of the wrapped requirement|latent_requirement_erased|wrapped.call;wrapper.call|middleware.definition:definition;wrapped.definition:callable;middleware.call:return;wrapper.call:call;wrapped.call:call;authority.capture:capture|output.requirement;wrapped.requirement|logging.grant_exact|output.requirement;wrapped.requirement
effect.linear_capture|positive_move|positive|common|tests explicit transfer into a closure|move one owned resource into a callable and consume it once|owned resource|unit to unit|callable|factory.call;closure.call|returned_callable|resource.operation|owned resource|resource moved into callable|returned_callable_lifetime|one owner remains and one use closes or transfers the resource|none_expected|factory.call;closure.call|factory.definition:definition;closure.definition:callable;resource.definition:resource;resource.capture:capture;factory.call:return;closure.call:use|resource.operation|none_explicit|resource.operation
effect.linear_capture|misuse_move_without_transfer|misuse|common|pins ownership transfer visibility|capture an owned resource without recording transfer|owned resource|unit to unit|callable|factory.call;closure.call|returned_callable|resource.operation|owned resource|missing transfer|returned_callable_lifetime|reject capture without an explicit new owner|ownership_transfer_missing|resource.capture;factory.call|factory.definition:definition;closure.definition:callable;resource.definition:resource;resource.capture:capture;factory.call:return;closure.call:use|resource.operation|none_explicit|resource.operation
effect.linear_capture|misuse_escape|misuse|common|rejects resource escape past its owner|return a callable that retains a resource ending at factory return|linear resource|unit to unit|callable|factory.call;return.site;closure.call|returned_callable|resource.operation|linear resource|callable transferred but resource not transferred|beyond_resource_lifetime|reject the escaping callable|captured_resource_escapes|resource.capture;return.site;factory.call|factory.definition:definition;closure.definition:callable;resource.definition:resource;resource.capture:capture;factory.call:return;return.site:return;closure.call:use|resource.operation|none_explicit|resource.operation
effect.linear_capture|misuse_double_use|misuse|common|pins exactly-once resource use through captures|invoke two retained paths that both consume one resource|linear resource|unit to unit|callable|factory.call;first.use;second.use|returned_callable|resource.operation|linear resource|resource moved into callable|returned_callable_lifetime|reject the second use after the first consumes the resource|linear_resource_double_use|first.use;second.use|factory.definition:definition;closure.definition:callable;resource.definition:resource;resource.capture:capture;factory.call:return;first.use:use;second.use:use|resource.operation|none_explicit|resource.operation
effect.linear_capture|misuse_outlives|misuse|common|pins Transaction-shaped lifetime|retain a callable after the transaction must commit or roll back|transaction resource|unit to unit|callable|register.call;close.site;late.use|stored_callable|transaction.operation|transaction resource;registration|registration retained|beyond_transaction_close|reject use after the resource lifetime closes|captured_resource_outlives|close.site;late.use;register.call|registry.definition:definition;closure.definition:callable;transaction.definition:resource;transaction.capture:capture;register.call:registration;close.site:use;late.use:use|transaction.operation|none_explicit|transaction.operation
